"itemId","globalId","name","firstPartitionGlobalId","secondPartitionGlobalId ","accessRule","x","y"
"815","2N3oFtM8X6lO2dN1$77xo6","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187872","143B","147","[]","330.55104166666683","245.729291666667"
"835","2N3oFtM8X6lO2dN1$77xv3","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188197","143D","145","[]","311.86666","245.52262500000035"
"861","2N3oFtM8X6lO2dN1$77xzD","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187947","143D","144","[]","309.6383266666667","245.729291666667"
"788","2N3oFtM8X6lO2dN1$77xpX","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187783","143B","148","[]","331.7285416666667","247.57345833333383"
"889","3If4otxpvBjO9DSa$bK$uj","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:207624","143B","143A","[]","330.67520833333333","254.92620833333382"
"928","ec8887aa-cd98-4687-8fbb-2643900c39d0","951_and_952","143A","143B","[]","317.5814583333335","245.72929166666682"
"929","c3339f0e-9dae-4e03-83f9-206518f1641c","952_and_953","143B","143C","[]","319.65562500000016","254.92595833333348"
"930","13d4261c-c596-4bf2-b66a-c9c1f8b4ab7b","952_and_954","143B","143D","[]","314.6364583333334","250.32762500000018"
"931","b2349706-f6ce-4d7c-a5f3-f7d7006f4a31","953_and_954","143C","143D","[]","314.6364583333334","257.6534583333335"
"793","2N3oFtM8X6lO2dN1$77xXr","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186643","111","114","[]","352.93420333333347","278.4688333333338"
"796","2N3oFtM8X6lO2dN1$77u67","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188641","150","151","[]","351.5162500000002","253.91020833333383"
"799","2N3oFtM8X6lO2dN1$77uCq","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189010","158","154","[]","364.3360833333335","250.77004166666717"
"826","2N3oFtM8X6lO2dN1$77u3r","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188819","151","152","[]","357.3633433333333","255.13020833333383"
"833","2N3oFtM8X6lO2dN1$77uCB","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189037","155","158","[]","365.5780447678163","249.9258750000005"
"825","2N3oFtM8X6lO2dN1$77u2P","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188927","153","158","[]","364.3360833333335","256.0593750000005"
"867","2N3oFtM8X6lO2dN1$77u8l","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:189257","157","158","[]","368.5538781011497","249.9258750000005"
"872","2N3oFtM8X6lO2dN1$77xcM","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186608","112","114","[]","350.60587000000015","278.4688333333338"
"878","2N3oFtM8X6lO2dN1$77uF4","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189090","151","156","[]","358.29251","243.5437300000005"
"932","8e4e4831-96d4-4e7f-8cc5-3bb3b2f3fc80","955_and_956","136A","136B","[]","325.5164583333335","266.6426250000002"
"933","e368d93d-e809-4256-9dbc-bb2652b53f19","956_and_957","136B","136C","[]","324.2464583333335","270.6717916666668"
"934","52ce2b82-f716-417b-842f-24b9cc7fc719","956_and_958","136B","136D","[]","324.2464583333335","272.7934583333335"
"935","e2bf9abe-87cb-41eb-b250-62522db7800e","958_and_959","136D","136E","[]","322.4697916666668","271.71762500000017"
"898","AP_124_to_135","AP_124_to_135","135C","124","[]","337.01479166666684","274.50429166666686"
"936","db25359d-12fc-42f2-b508-ebbf3ac647d4","960_and_961","135A","135B","[]","333.7531250000002","266.6426250000002"
"937","9dec26b2-d503-4830-a8ec-42b9de010bc5","961_and_962","135B","135C","[]","334.2822916666668","272.29262500000016"
"834","2N3oFtM8X6lO2dN1$77xD6","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184864","121E","119","[]","346.55079166666667","263.89558333333383"
"841","2N3oFtM8X6lO2dN1$77xwP","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:188415","121C","143D","[]","308.006455","260.588410000001"
"843","2N3oFtM8X6lO2dN1$77x0R","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184701","121E","116","[]","352.4379166666668","263.89558333333383"
"845","2N3oFtM8X6lO2dN1$77x1u","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184606","121F","117","[]","357.9782916666667","263.89558333333383"
"855","2N3oFtM8X6lO2dN1$77u2e","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188878","121F","153","[]","363.20025000000015","260.58841000000115"
"858","2N3oFtM8X6lO2dN1$77u5A","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188460","121E","150","[]","351.51625","260.58841000000115"
"864","2N3oFtM8X6lO2dN1$77xF_","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184984","121A","136A","[]","326.99279500000017","265.03141666666716"
"877","2N3oFtM8X6lO2dN1$77u0o","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188756","121E","152","[]","353.58125","260.58841000000115"
"881","2N3oFtM8X6lO2dN1$77xCp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184917","121A","135A","[]","332.35320666666684","265.03141666666716"
"887","2N3oFtM8X6lO2dN1$77xnt","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187665","121A","143A","[]","330.55104166666666","260.588410000001"
"938","9a36265d-2e87-4a1a-b811-1fcc8ff8a54c","963_and_964","121A","121B","[]","326.9931250000002","262.2417916666668"
"939","e2e23af9-3c4a-4a63-b559-a768349ac408","963_and_966","121A","121D","[]","332.35312500000015","262.2417916666668"
"940","cc0c3e4d-38b8-4f63-a22a-e4af594a0b4d","964_and_965","121B","121C","[]","316.3247916666668","262.2417916666668"
"941","63078787-2cba-4d9d-8690-1fe65765fe79","966_and_967","121D","121E","[]","343.90604166666685","262.2417916666668"
"942","b1884f2a-8781-4833-aa81-db1fc42d251c","967_and_968","121E","121F","[]","355.4589583333335","262.2417916666668"
"943","191807cf-81d6-4b7e-ae23-32e50f56678a","968_and_969","121F","121G","[]","367.01187500000015","262.2417916666668"
"846","2N3oFtM8X6lO2dN1$77xsW","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187590","S101A","121C","[]","305.65708333333333","261.51757666666765"
"944","43d82125-4cda-4cde-b548-e12608fcb3d3","970_and_971","S101A","S101B","[]","303.3331250000001","263.0392916666668"
"805","2N3oFtM8X6lO2dN1$77xKn","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185431","141A","126","[]","336.61579166666667","290.0311250000005"
"817","2N3oFtM8X6lO2dN1$77xH0","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185638","141D","131","[]","322.227125","292.57083333333367"
"827","2N3oFtM8X6lO2dN1$77xUv","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:186079","141B","101","[]","344.49579166666666","292.5708333333338"
"831","2N3oFtM8X6lO2dN1$77xGO","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185726","141C","129","[]","332.95661166666684","292.57083333333367"
"842","2N3oFtM8X6lO2dN1$77xJp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185749","141A","128","[]","340.21995833333335","292.5708333333338"
"849","2N3oFtM8X6lO2dN1$77xNK","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185522","141C","127","[]","334.3874583333333","290.0311250000005"
"859","2N3oFtM8X6lO2dN1$77xGt","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185681","141C","130","[]","328.04406","292.57083333333367"
"945","faf3a577-0849-47d2-95bc-d559d6aaa5d9","972_and_973","141A","141B","[]","341.2764583333335","291.3009583333335"
"946","9bc40e41-8af4-4b6a-998d-d554062802e0","972_and_974","141A","141C","[]","334.5897916666668","291.3009583333335"
"947","09986761-e853-4c25-9c4f-c943b27162b3","974_and_975","141C","141D","[]","327.90312500000016","291.3009583333335"
"848","2N3oFtM8X6lO2dN1$77xaz","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186459","142B","114","[]","344.8204166666668","277.29133333333385"
"854","2N3oFtM8X6lO2dN1$77xAg","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185292","142B","125","[]","341.4707916666667","277.6728750000005"
"875","2N3oFtM8X6lO2dN1$77x9N","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185137","142A","123","[]","340.73524666666685","268.80407833333385"
"879","2N3oFtM8X6lO2dN1$77xEd","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185025","142A","122","[]","340.73524666666685","266.73907833333385"
"895","AP_124_to_142","AP_124_to_142","142A","124","[]","340.52812500000016","274.50429166666686"
"948","9c137abc-fcdf-4812-a3a9-c9f51b65991b","976_and_977","142A","142B","[]","343.14562500000017","276.9634583333335"
"900","AP_118_to_110","AP_118_to_110","118D","110","[]","360.5964583333335","278.11012500000015"
"901","AP_118_to_114","AP_118_to_114","118D","114","[]","357.68479166666685","275.3976250000002"
"902","AP_118_to_117","AP_118_to_117","118C","117","[]","360.5314583333335","271.09762500000016"
"904","AP_118_to_121","AP_118_to_121","118C","121G","[]","369.6514583333335","264.10262500000016"
"949","c18945b4-3130-428f-8b9d-79daf7156f5e","978_and_979","118A","118B","[]","375.63979166666684","271.3092916666668"
"950","1ad9554a-1ba3-4dd2-a13e-95d2c62412e2","978_and_980","118A","118C","[]","372.7147916666668","267.7059583333335"
"951","b03145ed-5e9c-4cba-a1b3-ab2158251ba5","979_and_980","118B","118C","[]","372.7147916666668","274.4267916666668"
"952","66ff2821-8d51-4272-a02f-eec62497cb31","980_and_981","118C","118D","[]","360.7381250000002","274.93512500000014"
"816","2N3oFtM8X6lO2dN1$77xDb","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184835","115B","121E","[]","349.1253333333335","263.89558333333383"
"953","6c459ec5-e344-4ba3-936c-534add7d9857","982_and_983","115A","115B","[]","349.8339583333335","267.37262500000014"
"791","2N3oFtM8X6lO2dN1$77xRF","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186281","113D","104","[]","361.6627516666667","293.2375833333338"
"810","2N3oFtM8X6lO2dN1$77xYv","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186847","113E","109","[]","373.65960333333334","290.52854166666697"
"813","2N3oFtM8X6lO2dN1$77xbr","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186387","113E","106","[]","374.8707516666668","293.2375833333338"
"836","2N3oFtM8X6lO2dN1$77xQu","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186334","113E","105","[]","372.6424183333335","293.2375833333338"
"847","2N3oFtM8X6lO2dN1$77xVs","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186000","113A","141B","[]","346.9528333333335","290.0311250000005"
"863","2N3oFtM8X6lO2dN1$77xb8","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186414","113E","107","[]","377.54937500000017","291.8830625000005"
"865","2N3oFtM8X6lO2dN1$77xRk","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186248","113A","103","[]","359.4344183333333","293.23758333333365"
"884","2N3oFtM8X6lO2dN1$77xOj","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186187","113A","102","[]","353.08554","293.23758333333365"
"885","2N3oFtM8X6lO2dN1$77xWY","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186692","113E","110","[]","371.3646033333335","290.52854166666697"
"954","0e3a95a0-7790-4eee-8b8b-5e48e7210e33","984_and_985","113A","113B","[]","359.7481250000002","285.06512500000014"
"955","3b0a855b-0a77-4037-aed7-708a7da2fcf2","984_and_986","113A","113C","[]","359.7481250000002","288.84595833333344"
"956","f70a6339-c15e-4dbe-b74d-c6683c391f9a","984_and_987","113A","113D","[]","359.7481250000002","291.88345833333346"
"957","bfbace55-a645-439d-be8e-59da82c790e0","986_and_987","113C","113D","[]","360.1206250000002","290.5292916666668"
"958","0f8c0f4e-cb27-41d8-b2fb-0ebc0ad20a58","987_and_988","113D","113E","[]","368.6489583333335","291.88345833333346"
"903","AP_118_to_S102","AP_118_to_S102","S102B","118B","[]","380.8881250000002","271.10262500000016"
"870","2N3oFtM8X6lO2dN1$77x7o","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184468","S102A","121G","[]","378.5650833333335","261.5175766666678"
"959","1494f6ed-18e6-44c4-aad7-359dd05e6bed","989_and_990","S102A","S102B","[]","380.8881250000002","263.1059583333335"
"792","2N3oFtM8X6lO2dN1$77xeH","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187255","140A","132","[]","321.009625","288.980291666667"
"795","2N3oFtM8X6lO2dN1$77xjY","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186884","140B","139","[]","306.58625","271.3039166666672"
"798","2N3oFtM8X6lO2dN1$77xkJ","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187125","140D","138","[]","317.3003366666667","271.3039166666672"
"818","2N3oFtM8X6lO2dN1$77xei","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187210","140D","137","[]","319.36533666666685","271.3039166666672"
"821","2N3oFtM8X6lO2dN1$77xq_","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187480","140D","133","[]","321.009625","284.32891666666694"
"871","2N3oFtM8X6lO2dN1$77xtv","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187551","140D","134","[]","321.009625","279.677541666667"
"960","65435d59-3202-49e8-8c9a-43c69149f03f","991_and_992","140A","140B","[]","306.0356250000001","286.64095833333346"
"961","bdb9e4e6-fb3b-486d-9d7e-f3fbda14cbeb","991_and_994","140A","140D","[]","316.0006250000001","286.64095833333346"
"962","ac64b81e-c2f6-45fe-84a2-1ac94b627555","992_and_994","140B","140D","[]","310.9914583333334","278.97262500000016"
"963","bb45c6b6-2eac-4477-9f4f-3df1acf041d0","993_and_994","140C","140D","[]","312.2614583333334","271.3042916666668"
"899","AP_118_to_108","AP_118_to_108","108B","118B","[]","378.2164583333335","278.6326250000002"
"905","AP_108_to_107","AP_108_to_107","108A","107","[]","380.0506250000002","288.9259583333335"
"906","AP_108_to_109","AP_108_to_109","108A","109","[]","378.01562500000017","288.7726250000001"
"907","AP_108_to_110","AP_108_to_110","108B","110","[]","372.7147916666668","281.13679166666685"
"908","AP_108_to_118","AP_108_to_118","108B","118B","[]","378.2164583333335","278.83929166666684"
"964","29a12861-c719-4469-a6bf-19390d54346e","995_and_996","108A","108B","[]","378.6881250000002","281.13679166666685"
