"itemId","globalId","x","y"
"825","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188927","364.3360833333335","256.0593750000005"
"862","M_Toilet Partition:0813 x 1525mm:0813 x 1525mm:228104","326.33229000000017","270.5902350000002"
"863","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186414","377.54937500000017","291.8830625000005"
"864","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184984","326.99279500000017","265.03141666666716"
"865","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186248","359.4344183333333","293.23758333333365"
"866","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184137","383.71883333333335","261.75091000000117"
"867","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:189257","368.5538781011497","249.9258750000005"
"869","M_Toilet Partition:0915 x 1525mm:0915 x 1525mm:227877","326.37395666666686","272.940916666667"
"870","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184468","378.5650833333335","261.5175766666678"
"871","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187551","321.009625","279.677541666667"
"872","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186608","350.60587000000015","278.4688333333338"
"875","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185137","340.73524666666685","268.80407833333385"
"877","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188756","353.58125","260.58841000000115"
"878","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189090","358.29251","243.5437300000005"
"879","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185025","340.73524666666685","266.73907833333385"
"881","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184917","332.35320666666684","265.03141666666716"
"884","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186187","353.08554","293.23758333333365"
"885","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186692","371.3646033333335","290.52854166666697"
"887","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187665","330.55104166666666","260.588410000001"
"889","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:207624","330.67520833333333","254.92620833333382"
"901","AP_118_to_114","357.68479166666685","275.3976250000002"
"902","AP_118_to_117","360.5314583333335","271.09762500000016"
"903","AP_118_to_S102","380.8881250000002","271.10262500000016"
"904","AP_118_to_121","369.6514583333335","264.10262500000016"
"905","AP_108_to_107","380.0506250000002","288.9259583333335"
"906","AP_108_to_109","378.01562500000017","288.7726250000001"
"907","AP_108_to_110","372.7147916666668","281.13679166666685"
"908","AP_108_to_118","378.2164583333335","278.83929166666684"
"928","951_and_952","317.5814583333335","245.72929166666682"
"929","952_and_953","319.65562500000016","254.92595833333348"
"930","952_and_954","314.6364583333334","250.32762500000018"
"931","953_and_954","314.6364583333334","257.6534583333335"
"932","955_and_956","325.5164583333335","266.6426250000002"
"933","956_and_957","324.2464583333335","270.6717916666668"
"934","956_and_958","324.2464583333335","272.7934583333335"
"935","958_and_959","322.4697916666668","271.71762500000017"
"936","960_and_961","333.7531250000002","266.6426250000002"
"937","961_and_962","334.2822916666668","272.29262500000016"
"938","963_and_964","326.9931250000002","262.2417916666668"
"939","963_and_966","332.35312500000015","262.2417916666668"
"940","964_and_965","316.3247916666668","262.2417916666668"
"941","966_and_967","343.90604166666685","262.2417916666668"
"942","967_and_968","355.4589583333335","262.2417916666668"
"943","968_and_969","367.01187500000015","262.2417916666668"
"944","970_and_971","303.3331250000001","263.0392916666668"
